Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,253097,-,-,-,34.09,-114.86,-8,311,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed
2015,1,1,0,30,0,0,-49.59967651367185,0.35872802734377274,977.3182373046875,2.7089898586273193
2015,1,1,1,30,0,0,-49.33476867675779,0.10640869140627274,977.651611328125,2.95001220703125
2015,1,1,2,30,0,0,-48.540304565429665,-0.12421264648435226,977.7755126953125,3.0749692916870117
2015,1,1,3,30,0,0,-47.35442199707029,-0.37177124023435226,977.9959106445312,3.048811912536621
2015,1,1,4,30,0,0,-46.865927124023415,-0.6293090820312273,978.5350341796875,2.8668570518493652
2015,1,1,5,30,0,0,-47.05966796874998,-0.8360656738281023,979.2911987304688,2.5331993103027344
2015,1,1,6,30,0,0,-47.20867004394529,-0.07257690429685226,980.1729736328125,2.1433446407318115
2015,1,1,7,30,39,466,-52.5334533691406,2.2272277832031477,980.9556884765625,1.818960428237915
2015,1,1,8,30,65,731,-62.813619995117165,5.320184326171898,981.67431640625,1.8947651386260986
2015,1,1,9,30,79,845,-68.81864013671873,8.008355712890648,981.7457885742188,2.172010898590088
2015,1,1,10,30,87,900,-69.96285095214841,9.592279052734398,981.0999755859375,2.2803914546966553
2015,1,1,11,30,90,921,-69.5815490722656,10.321527099609398,980.605712890625,2.3775672912597656
2015,1,1,12,30,89,915,-67.90973510742185,10.415704345703148,980.2283935546875,2.3860113620758057
2015,1,1,13,30,83,876,-64.77001037597654,9.861932373046898,979.9179077148438,2.2944390773773193
2015,1,1,14,30,72,790,-60.0971740722656,8.600885009765648,980.0582275390625,2.214384078979492
2015,1,1,15,30,52,608,-51.10111083984373,6.490258789062523,980.4193115234375,1.9711426496505737
2015,1,1,16,30,12,119,-38.08965148925779,4.744531250000023,980.7987060546875,1.6025261878967285
2015,1,1,17,30,0,0,-34.368673706054665,4.032006835937523,981.012939453125,1.3737280368804932
2015,1,1,18,30,0,0,-38.464010620117165,3.5775085449218977,981.0066528320312,1.469157099723816
2015,1,1,19,30,0,0,-39.62676086425779,3.2542358398437727,981.068603515625,1.8979766368865967
2015,1,1,20,30,0,0,-39.154196166992165,2.9874511718750227,981.1343994140625,2.3476500511169434
2015,1,1,21,30,0,0,-38.61156311035154,2.7102600097656477,981.0625,2.672759532928467
2015,1,1,22,30,0,0,-38.31249084472654,2.3905578613281477,980.7391357421875,2.9150867462158203
2015,1,1,23,30,0,0,-38.125753784179665,2.0284057617187727,980.2953491210938,3.115732431411743
2015,1,2,0,30,0,0,-38.039266967773415,1.7134643554687727,979.97900390625,3.311580181121826
2015,1,2,1,30,0,0,-37.784445190429665,1.4976135253906477,979.90283203125,3.4601171016693115
2015,1,2,2,30,0,0,-37.15856018066404,1.3291564941406477,979.8563232421875,3.527951240539551
2015,1,2,3,30,0,0,-36.17418518066404,1.1796508789062727,979.71142578125,3.50946044921875
2015,1,2,4,30,0,0,-34.92853393554685,1.0522705078125227,979.69873046875,3.4084715843200684
2015,1,2,5,30,0,0,-33.645468139648415,0.9619995117187727,980.0231323242188,3.2560839653015137
2015,1,2,6,30,0,0,-35.27501525878904,1.7785888671875227,980.6129150390625,3.09367299079895
2015,1,2,7,30,39,468,-40.700643920898415,4.086694335937523,981.1688232421875,2.827414035797119
2015,1,2,8,30,65,733,-49.606405639648415,7.206933593750023,981.5472412109375,2.669322967529297
2015,1,2,9,30,79,845,-60.53073730468748,10.122613525390648,981.30517578125,2.797299385070801
2015,1,2,10,30,87,897,-68.23419799804685,12.037652587890648,980.2366333007812,2.9221973419189453
2015,1,2,11,30,90,916,-71.91554870605466,13.036614990234398,979.1905517578125,3.0202527046203613
2015,1,2,12,30,88,908,-73.44252624511716,13.379235839843773,978.391845703125,3.164879322052002
2015,1,2,13,30,83,872,-73.07370605468748,13.069329833984398,977.9093017578125,3.238532304763794
2015,1,2,14,30,72,790,-69.41852416992185,11.944818115234398,977.7918701171875,3.087360143661499
2015,1,2,15,30,53,614,-60.00922241210935,9.630517578125023,977.7073974609375,2.831296920776367
2015,1,2,16,30,13,131,-51.7473205566406,7.584008789062523,977.90771484375,2.7960329055786133
2015,1,2,17,30,0,0,-49.50479736328123,6.701470947265648,978.2886352539062,2.949911117553711
2015,1,2,18,30,0,0,-47.954183959960915,6.066491699218773,978.6519775390625,3.0692996978759766
2015,1,2,19,30,0,0,-46.622885131835915,5.512139892578148,979.118896484375,3.100370407104492
2015,1,2,20,30,0,0,-45.88091125488279,5.018609619140648,979.6287231445312,3.068643093109131
2015,1,2,21,30,0,0,-44.65581359863279,4.569055175781273,980.0758056640625,2.9820332527160645
2015,1,2,22,30,0,0,-43.32042541503904,4.147576904296898,980.452880859375,2.8036386966705322
2015,1,2,23,30,0,0,-41.94650878906248,3.7622009277343977,980.6494140625,2.5655221939086914
2015,1,3,0,30,0,0,-40.3734191894531,3.3857666015625227,980.7728271484375,2.4014344215393066
