gross_actual,gross_model,net_actual,net_model,tes_actual,tes_model,revenue_actual,revenue_model
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.69575,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-4.21617,0,42.7151,0,-3.372936,0
0,0,-0.85225,0,102.326,0,-0.6818,0
61.338,66.6057,53.6644,59.94513,86.2963,213.798,42.93152,53.2846
121.327,120.551,114.066,108.4959,280.828,357.311,91.2528,96.4409
121.336,120.551,114.715,108.4959,358.244,440.412,91.772,96.4409
121.333,120.551,112.851,108.4959,583.476,675.423,90.2808,96.4409
120.27,120.551,114.354,108.4959,578.01,673.115,91.4832,96.4409
118.421,120.551,115.544,108.4959,297.901,391.076,92.4352,96.4409
119.361,120.551,116.712,108.4959,18.2601,110.746,93.3696,96.4409
7.7216,46.8627,6.93299,42.17643,0,0,5.546392,37.4902
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.44275,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
0,0,-0.6325,0,0,0,-0.506,0
19.6058,65.0544,13.0045,58.54896,69.052,33.0619,10.4036,52.0435
120.575,120.551,114.833,108.4959,149.384,58.4774,91.8664,96.4409
121.327,120.551,111.218,108.4959,461.917,384.094,88.9744,96.4409
121.273,120.551,110.918,108.4959,787.393,719.798,88.7344,96.4409
121.271,120.551,111.45,108.4959,1088.47,1029.82,89.16,96.4409
121.332,120.551,115.298,108.4959,1101.58,1046.37,92.2384,96.4409
120.417,120.551,117.547,108.4959,816.877,764.336,94.0376,96.4409
120.776,120.551,118.141,108.4959,534.313,484.006,94.5128,96.4409
120.953,120.551,118.333,108.4959,254.403,205.809,94.6664,96.4409
87.467,88.0509,85.47,79.24581,51.8754,2.41751,68.376,70.4407
0,0,-0.6325,0,51.7157,2.41751,-0.506,0
0,0,-0.6325,0,51.5564,2.41751,-0.506,0
0,0,-0.6325,0,51.3974,2.41751,-0.506,0
0,0,-0.6325,0,51.2389,2.41751,-0.506,0
0,0,-0.6325,0,51.0804,2.41751,-0.506,0
0,0,-0.6325,0,50.9223,0,-0.44275,0
0,0,-0.6325,0,50.7646,0,-0.44275,0
0,0,-0.6325,0,50.6072,0,-0.44275,0
0,0,-0.6325,0,50.4502,0,-0.44275,0
0,0,-0.6325,0,50.2939,0,-0.44275,0
0,0,-0.6325,0,50.138,0,-0.44275,0
0,0,-0.6325,0,49.9824,0,-0.506,0
0,0,-0.6325,0,49.8274,0,-0.506,0
0,0,-4.09326,0,87.0988,51.0804,-4.502586,0
62.0014,65.0544,57.0388,58.54896,151.616,48.6629,62.74268,71.5598
75.053,76.9545,66.3066,69.25905,539.607,449.307,72.93726,84.65
74.978,76.9545,72.8059,69.25905,363.293,271.862,80.08649,84.65
74.9251,76.9545,71.1798,69.25905,186.28,93.749,78.29778,84.65
74.9972,76.9545,69.4438,69.25905,233.365,176.815,76.38818,84.65
75.0251,76.9545,72.8591,69.25905,85.662,0,80.14501,84.65
0,0,-0.6325,0,85.4585,0,-0.69575,0
0,0,-0.6325,0,85.2547,0,-0.69575,0
0,0,-0.6325,0,85.0505,0,-0.69575,0
0,0,-0.6325,0,84.8467,0,-0.69575,0
0,0,-0.6325,0,84.6429,0,-0.69575,0
0,0,-0.6325,0,84.4394,0,-0.69575,0
0,0,-0.6325,0,84.2359,0,-0.506,0
0,0,-0.6325,0,84.0328,0,-0.506,0
0,0,-0.6325,0,83.83,0,-0.506,0
0,0,-0.6325,0,83.6276,0,-0.44275,0
0,0,-0.6325,0,83.4255,0,-0.44275,0
0,0,-0.6325,0,83.2234,0,-0.44275,0
0,0,-0.6325,0,83.0217,0,-0.44275,0
0,0,-0.6325,0,82.8204,0,-0.44275,0
0,0,-0.6325,0,82.619,0,-0.44275,0
0,0,-0.6325,0,82.418,0,-0.506,0
0,0,-0.6325,0,82.218,0,-0.506,0
0,0,-4.27758,0,135.402,83.83,-4.705338,0
62.0348,65.0544,54.8619,58.54896,356.578,284.273,60.34809,71.5598
120.374,120.551,110.66,108.4959,699.504,588.314,121.726,132.606
121.328,120.551,110.782,108.4959,1035.98,934.465,121.8602,132.606
121.273,120.551,110.651,108.4959,1374.75,1282.56,121.7161,132.606
121.272,120.551,111.356,108.4959,1681.09,1597.58,122.4916,132.606
121.336,120.551,112.756,108.4959,1915.61,1839.15,124.0316,132.606
120.231,120.551,117.379,108.4959,1637.29,1562.36,129.1169,132.606
120.489,120.551,117.845,108.4959,1352.77,1280.32,129.6295,132.606
120.765,120.551,118.128,108.4959,1069.01,998.895,129.9408,132.606
120.851,120.551,118.221,108.4959,786.6,718.565,130.0431,132.606
120.832,120.551,118.211,108.4959,505.812,439.314,130.0321,132.606
121.02,120.551,118.406,108.4959,226.08,161.117,130.2466,132.606
68.5895,69.1549,67.1246,62.23941,67.0696,1.52E-10,53.69968,55.3239
0,0,-0.6325,0,66.8881,1.51E-10,-0.506,0
0,0,-0.6325,0,66.7066,1.51E-10,-0.506,0
0,0,-0.6325,0,66.5252,0,-0.44275,0
0,0,-0.6325,0,66.3441,0,-0.44275,0
0,0,-0.6325,0,66.1634,0,-0.44275,0
0,0,-0.6325,0,65.9831,0,-0.44275,0
0,0,-0.6325,0,65.8032,0,-0.44275,0
0,0,-0.6325,0,65.6236,0,-0.44275,0
0,0,-0.6325,0,65.4444,0,-0.506,0
0,0,-0.6325,0,65.2662,0,-0.506,0
0,0,-4.30984,0,121.419,66.7066,-4.740824,0
63.8729,66.6057,56.4694,59.94513,345.837,266.944,62.11634,73.2663
121.153,120.551,111.3,108.4959,694.142,573.727,122.43,132.606
121.013,120.551,110.372,108.4959,1029.24,915.916,121.4092,132.606
122.196,120.551,111.075,108.4959,1369.34,1263.11,122.1825,132.606
122.194,120.551,111.886,108.4959,1671.93,1572.37,123.0746,132.606
121.025,120.551,112.364,108.4959,1905.25,1811.08,123.6004,132.606
121.206,120.551,114.383,108.4959,2000.25,1910.66,125.8213,132.606
121.257,120.551,117.982,108.4959,1724.42,1635.71,129.7802,132.606
120.295,120.551,117.665,108.4959,1446.12,1358.92,129.4315,132.606
120.514,120.551,117.873,108.4959,1161.66,1076.88,129.6603,132.606
120.51,120.551,117.868,108.4959,877.207,794.846,129.6548,132.606
120.504,120.551,117.862,108.4959,592.774,512.807,129.6482,132.606
120.776,120.551,118.14,108.4959,309.142,231.38,94.512,96.4409
102.022,98.8369,99.5232,88.95321,78.6717,1.50E-10,79.61856,79.0695
0,0,-0.6325,0,78.4757,1.50E-10,-0.506,0
0,0,-0.6325,0,78.2797,0,-0.44275,0
0,0,-0.6325,0,78.0837,0,-0.44275,0
0,0,-0.6325,0,77.8877,0,-0.44275,0
0,0,-0.6325,0,77.6921,0,-0.44275,0
0,0,-0.6325,0,77.4969,0,-0.44275,0
0,0,-0.6325,0,77.3017,0,-0.44275,0
0,0,-0.6325,0,77.1068,0,-0.506,0
0,0,-0.6325,0,76.913,0,-0.506,0
0,0,-4.19858,0,123.491,78.4757,-4.618438,0
63.8703,66.6057,56.6003,59.94513,336.911,269.163,62.26033,73.2663
121.153,120.551,111.527,108.4959,671.504,563.531,122.6797,132.606
122.195,120.551,111.355,108.4959,998.926,897.15,122.4905,132.606
